Type,Model,Version,Lifecycle status,Deprecation date,Retirement date,Replacement model
Text,codex-mini,2025-05-16,Generally Available,2026-05-16,2026-11-15,
Text,computer-use-preview,2025-03-11,Preview,n/a,No earlier than 2026-04-14,
Text,gpt-4.1,2025-04-14,Generally Available,2026-04-14,2026-10-14,gpt-5
Text,gpt-4.1-mini,2025-04-14,Generally Available,2026-04-14,2026-10-14,gpt-5-mini
Text,gpt-4.1-nano,2025-04-14,Generally Available,2026-04-14,2026-10-14,gpt-5-nano
Text,gpt-4o,2024-05-13,Generally Available,2025-05-13,2026-03-31,gpt-5.1
Text,gpt-4o,2024-08-06,Generally Available,2025-08-06,2026-03-31,gpt-5.1
Text,gpt-4o,2024-11-20,Generally Available,2025-11-20,2026-06-03,gpt-5.1
Text,gpt-4o-mini,2024-07-18,Generally Available,2025-07-18,2026-03-31,gpt-4.1-mini
Text,gpt-5-codex,2025-09-15,Generally Available,2026-09-15,2027-03-17,
Text,gpt-5-mini,2025-08-07,Generally Available,2026-08-07,2027-02-06,
Text,gpt-5-nano,2025-08-07,Generally Available,2026-08-07,2027-02-06,
Text,gpt-5-pro,2025-10-06,Generally Available,2026-10-06,2027-04-07,
Text,gpt-5.1,2025-11-13,Generally Available,2026-11-13,2027-05-15,
Text,gpt-5.1-chat,2025-11-13,Preview,n/a,No earlier than 2026-03-31,
Text,gpt-5.1-codex,2025-11-13,Generally Available,2026-11-13,2027-05-15,
Text,gpt-5.1-codex-mini,2025-11-13,Generally Available,2026-11-13,2027-05-15,
Text,model-router,2025-11-18,Generally Available,2026-11-18,2027-05-20,
Text,o1,2024-12-17,Generally Available,2025-12-17,2026-06-18,o3
Text,o1-pro,2025-03-19,Generally Available,2026-03-19,2026-09-18,o3-pro
Text,o3,2025-04-16,Generally Available,2026-04-16,2026-10-16,
Text,o3-deep-research,2025-06-26,Generally Available,2026-06-26,2026-12-26,
Text,o3-mini,2025-01-31,Generally Available,2026-01-31,2026-08-02,o4-mini
Text,o3-pro,2025-06-10,Generally Available,2026-06-10,2026-12-10,
Text,o4-mini,2025-04-16,Generally Available,2026-04-16,2026-10-16,
Audio,gpt-4o-audio-preview,2024-12-17,Preview,n/a,2026-02-02,gpt-audio
Audio,gpt-4o-mini-audio-preview,2024-12-17,Preview,n/a,"No earlier than February 28, 2026",
Audio,gpt-4o-mini-realtime-preview,2024-12-17,Preview,n/a,"No earlier than February 28, 2026",
Audio,gpt-4o-mini-transcribe,2025-03-20,Preview,n/a,"No earlier than February 28, 2026",
Audio,gpt-4o-mini-transcribe-2025-12-15,2025-12-15,Generally Available,n/a,"No earlier than December 15, 2026",
Audio,gpt-4o-mini-tts,2025-03-20,Preview,n/a,"No earlier than February 28, 2026",
Audio,gpt-4o-mini-tts-2025-12-15,2025-12-15,Generally Available,n/a,"No earlier than December 15, 2026",
Audio,gpt-4o-realtime-preview,2024-12-17,Preview,n/a,2026-02-02,gpt-realtime
Audio,gpt-4o-transcribe,2025-03-20,Preview,n/a,"No earlier than February 28, 2026",
Audio,gpt-4o-transcribe-diarize,2025-10-15,Generally Available,2026-10-15,2027-04-16,
Audio,gpt-audio,2025-08-28,Generally Available,2026-08-28,2027-02-28,
Audio,gpt-audio-mini,2025-10-06,Generally Available,2026-10-06,2027-04-07,
Audio,gpt-realtime,2025-08-28,Generally Available,2026-08-28,2027-02-28,
Audio,gpt-realtime-mini-2025-12-15,2025-12-15,Generally Available,n/a,"No earlier than December 15, 2026",
Audio,tts,001,Generally Available,"No earlier than February 28, 2026",,
Audio,tts-hd,001,Generally Available,"No earlier than February 28, 2026",,
Audio,whisper,001,Generally Available,"No earlier than February 28, 2026",,
Image and video,dall-e-3,3,Generally Available,n/a,2026-02-18,gpt-image-1-mini
Image and video,gpt-image-1,2025-04-15,Preview,n/a,No earlier than 2026-03-31,gpt-image-1-mini
Image and video,gpt-image-1-mini,2025-10-06,Generally Available,2026-10-06,2027-04-07,
Image and video,gpt-image-1.5,2025-12-16,Preview,n/a,"No earlier than December 16, 2026",
Image and video,sora,2025-05-02,Preview,n/a,No earlier than 2026-02-15,sora-2
Embedding,text-embedding-3-large,1,Generally Available,n/a,No earlier than 2026-10-30,n/a
Embedding,text-embedding-3-small,1,Generally Available,n/a,No earlier than 2026-10-30,n/a
Embedding,text-embedding-ada-002,1,Generally Available,n/a,No earlier than 2026-10-30,n/a
Embedding,text-embedding-ada-002,2,Generally Available,n/a,No earlier than 2026-10-30,n/a
